사용일자,in_final,out_final,net_in_out_final,pre_week,next_week,week,weekend&public holiday
2023-10-12,34555.65444,36772.63227,-2216.9778300000016,-2330.6404599999996,-2245.9775400000017,3,0
2023-10-13,37555.62444,40353.59646,-2797.972020000002,-2971.970280000001,-2385.9761400000025,4,0
2023-10-16,35954.64045,37845.62154,-1890.9810900000016,-2283.9771600000013,-2395.976040000001,0,0
2023-10-17,36042.63957,38253.61746,-2210.977890000002,-1807.981920000002,-2558.9744100000016,1,0
2023-10-18,36494.63505,38580.61419,-2085.9791400000013,-3336.9666300000017,-2905.9709400000015,2,0
2023-10-19,36606.633929999996,38662.61337,-2055.979440000001,-1437.9856200000022,-1658.983410000001,3,0
2023-10-20,39647.60352,42551.57448,-2903.970960000002,-2514.9748500000014,-1721.982780000002,4,0
2023-10-23,37335.62664,39581.60418,-2245.9775400000017,-2216.9778300000016,-2553.07812,0,0
2023-10-24,36243.637559999996,38629.6137,-2385.9761400000025,-2797.972020000002,-2464.1516100000017,1,0
2023-10-25,37356.62643,39752.60247,-2395.976040000001,-1890.9810900000016,-3473.2259700000013,2,0
2023-10-26,36441.63558,39000.60999,-2558.9744100000016,-2210.977890000002,-2143.056750000002,3,0
2023-10-27,38269.6173,41175.588240000005,-2905.9709400000015,-2085.9791400000013,-2269.1058900000007,4,0
2023-10-30,35509.6449,37168.62831,-1658.983410000001,-2055.979440000001,-2062.12953,0,0
2023-10-31,33262.667369999996,34984.65015,-1721.982780000002,-2903.970960000002,-2302.0695299999998,1,0
2023-11-01,34235.65764,36788.735759999996,-2553.07812,-2245.9775400000017,-2615.15184,2,0
2023-11-02,36744.632549999995,39208.78416,-2464.1516100000017,-2385.9761400000025,-2241.0959100000023,3,0
2023-11-03,38550.61449,42023.84046,-3473.2259700000013,-2395.976040000001,-1964.088240000001,4,0
2023-11-06,33796.66203,35939.71878,-2143.056750000002,-2558.9744100000016,-2344.124100000002,0,0
2023-11-07,35350.64649,37619.75238,-2269.1058900000007,-2905.9709400000015,-2602.0523099999996,1,0
2023-11-08,36276.63723,38338.76676,-2062.12953,-1658.983410000001,-3031.231710000001,2,0
2023-11-09,34116.65883,36418.72836,-2302.0695299999998,-1721.982780000002,-2397.1173900000017,3,0
2023-11-10,36651.63348,39266.78532,-2615.15184,-2553.07812,-1845.1008900000002,4,0
2023-11-13,35036.64963,37277.74554,-2241.0959100000023,-2464.1516100000017,-2723.114400000002,0,0
2023-11-14,34965.65034,36929.73858,-1964.088240000001,-3473.2259700000013,-2997.1869000000015,1,0
2023-11-15,35907.64092,38251.76502,-2344.124100000002,-2143.056750000002,-3329.260470000002,2,0
2023-11-16,33342.66657,35944.71888,-2602.0523099999996,-2269.1058900000007,-1641.0628799999997,3,0
